ID,Yield
ID_F9XXEXN2ADR2,664.2683
ID_SO3VW2X4QO93,408.53757
ID_UKUQ7JM8E894,583.4906
ID_QUISMWEZR2H4,253.3127
ID_25JGI455VKCZ,620.47534
ID_KQEAOXF3RPV6,318.55634
ID_FSNZCPW9HTD2,1016.99786
ID_U2TOPOA0T40S,244.1859
ID_XVQLSUKOT04J,1194.6461
ID_EAZAU6IW58PK,147.9137
ID_WI17R25TC2VU,315.50055
ID_OPR9MJWG40U7,1383.4584
ID_P9K9GAHC6FX6,605.4489
ID_SCAOUCCTJ75Z,61.4232
ID_MUP1OS8GZR5E,1904.145
ID_WVBSZ9VBC9HE,634.427
ID_9MGH1WIKFBNB,408.12878
ID_3M2O3EPOM18C,3065.802
ID_K9MOR4N1FWIB,567.1639
ID_VJPUPMSQARO5,1235.6521
ID_7WIMK3DXIU3Q,1078.4392
ID_6QXVH0EUS60J,1166.8856
ID_CA9GH6Q53A1Q,245.0783
ID_94KO4EQ6TA3S,243.30743
ID_2WH3AXUWRS2A,243.42078
ID_LBS8TBC6QEF1,253.80986
ID_Y3YARETW8RAP,938.94147
ID_BY9JJAIKBRGP,293.55362
ID_0U5AM482W1DE,383.17395
ID_G0I28ORJC3OP,407.46567
ID_Q34ED4EMSA3R,572.3999
ID_LN3LXEG984XM,607.6854
ID_0JTIPPYRJND0,813.23987
ID_2MRD9I2X8UXB,156.48001
ID_KH1FHLUW2T4X,244.82486
ID_RFM5MWSIU1JX,317.46106
ID_IAH2UTMDVU8F,244.32433
ID_9SNP46T1GSJI,684.58057
ID_DSQ9ISYFW4DB,403.14368
ID_B8XYLC3NM6XD,185.6556
ID_HOG9LK4CTN8K,410.2764
ID_L3RTRS1QIY6D,325.15305
ID_03QW4RBYQEBK,322.11993
ID_ZJSYN3ZHXK5K,1025.099
ID_UPRM76SZ7IJJ,594.8182
ID_YB866N9RY5TU,412.07092
ID_4H0KNHPKF9BK,181.12376
ID_TOIT03A3WTTD,359.48236
ID_4P7NKCB6LMJ5,293.32986
